"date","text","retweet_count","favorite_count","reply"
"2021-06-23 23:23:46","b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,944,\nDose2 Capacity: 392,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"2021-06-23 23:16:54","b'@RobSchneider If a college forces the vaccine, they should be sued out of existence.  Wreck less, fraud, deliberate withhold of facts on an experimental drug against a low risk illness does not allow schools immunity from suit'",0,0,1
"2021-06-23 23:14:58","b'@senatenj My Deans List Sophomore unwelcome at her college w/o Covid vaccine.  She recovered on campus 2/2021!   Help us'",0,0,0
"2021-06-23 23:12:56","b'@NYGovCuomo are you paying out if your personal pocket for those college scholarships you gave away to people who got covid vaccine? I dont want my state tax dollars funding bribery'",0,0,0
"2021-06-23 23:09:29","b'@tedcruz please help my daughter in #NJ (@GovMurphy) return to college.  Shes declined vaccine as she recovered (on Campus) 2/2021'",0,0,0
"2021-06-23 23:00:52","b'Deathsantis say vaccine cards are wrong.. But they are mandating your party affiliation for college? Hmmm  stay off of third floors, never know when you could fall out of a deathsantis window! https://t.co/fiGnokPqPK'",0,0,0
"2021-06-23 22:56:09","b'Mandy Roberts wears many hats! \nShe is a Centennial College graduate.\nShe is a program PAC member.\nShe is a compounding teaching assistant.\nAnd today, what is this? Mandy is on a TTC bus drawing up vaccine doses for TTC workers!\nWOW Mandy we are truly in awe!\n#pharmacytechnician https://t.co/xCWtLpPDqe'",0,0,0
"2021-06-23 22:52:39","b""@FergalBowers Why doesn't @HSELive organise community pharmacy to start vaccinating that age group now? #FirstDoseForFirstYears Get them all done before they head off to college @IrishPharmacy @ITCarlowSU @TheUSI Leave the vaccine centres and GPs to carry on as they are.""",0,4,1
"2021-06-23 22:42:58","b'They should hire the Everest College guy to yell at everyone to get the vaccine. https://t.co/jTHVs8t2j8'",0,2,0
"2021-06-23 22:26:18","b'Covac1, the sRNA Covid vax from Imperial College, has a second phase 1 trial registered, in Uganda: https://t.co/jBIbkymkHy\n\nPotentially very important vax  (from my last post: https://t.co/tPtf7JcyLw) Records on the vax: https://t.co/q1kQPMYBJE https://t.co/HOooITU0Es'",4,25,0
"2021-06-23 22:20:06","b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,945,\nDose2 Capacity: 392,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"2021-06-23 22:19:56","b'@Sara_Razi29 As a Rutgers College alumnus I support your refusal to accept the mandatory vaccination with the experimental and potentially dangerous vaccine.  Great job.'",0,1,1
"2021-06-23 22:18:30","b'@SoCalValleyGal @thisoldhowse @HolyHaole @AlexBerenson @lamphieryeg @AmerMedicalAssn @AmerAcadPeds Here read this article that says the rate of myocarditis in College athletes that have had COVID is 2.3%. Compare that to post vaccine (.001%).  https://t.co/2OIXTvD6qB'",0,0,1
"2021-06-23 22:15:40","b'@ABDinAbsurdity Someone on our college parents board - objecting to the university announcing theyre requiring vaccines for the coming year - used her body, her choice about her daughter applying for medical/religious objection to the vaccine. I preemptively blocked that parent.'",0,0,1
"2021-06-23 22:08:35","b""@AshleyS1184 @GetOffMyLawn23 @sandibachom Not necessarily.  I know two school teachers, a nurse and several people in business who refuse the vaccine, all college educated.\n\nIt's crazy.""",0,0,1
"2021-06-23 21:57:23","b'It is not worth the risk. The Pfizer vaccine is not safe. Im really concerned about all of the college students going back to campus and these universities mandating vaccines...\nMother of teen with heart damage.\n\n https://t.co/w4hN2jTUV1'",0,0,0
"2021-06-23 21:56:51","b'NEW: Rhode Island College and the Community College of Rhode Island will require COVID-19 vaccine of all returning students https://t.co/V4HUC4Ypp8 via @BostonGlobe'",0,0,0
"2021-06-23 21:53:45","b'Oupa Mpapi Kekana, an educator from Modiri\nTechnical College got his COVID-19 vaccine today at Stanza Bopape Community Hall. https://t.co/WsjSQycGJA'",0,0,0
"2021-06-23 21:48:46","b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,945,\nDose2 Capacity: 392,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"2021-06-23 21:45:01","b'Why these 3 new #COVID19 college and university vaccine mandates in Rhode Island and West Virginia may be significant https://t.co/ZurG7Q9LfL #highered #highereducation #college #universities #students #vaccine #vaccination #campus https://t.co/jfmKIciZw1'",0,1,0
"2021-06-23 21:41:05","b'VT Health Commissioner Dr. Mark Levine, on the difficulty of getting 18 to 29 year olds not in college vaccinated: Most of them are not a truly vaccine-resistant group Its just not at the top of their list right now."" \n\nhttps://t.co/K4SkEgPu3S'",0,0,0
"2021-06-23 21:37:10","b'@DonaldWelsh16 Thank you so much! My children attend a college where the vaccine has been mandated.  I hope, given this report, that they will resend the rule.'",0,0,1
"2021-06-23 21:33:22","b'The PRC team will collaborate with community partners to facilitate pop-up vaccine registration events. https://t.co/QdbmhVz65s'",0,0,0
"2021-06-23 21:23:10","b""@mcm1071989 @JerseyRizzo It is new, because this vaccine isn't FDA approved and the long-term effects are unknown. Can girls in their 20's who need it for college, have children later in life? I don't know! You don't know! And the medical community doesn't know! I'm not anti-vax, I'm anti-mandate.""",0,3,1
"2021-06-23 21:19:03","b'Highline College has joined numerous other colleges and universities around the country to take the #COVIDCollegeChallenge pledge and commit to action. Get the COVID-19 vaccine, Thunderbirds! #WeCanDoThis\n\nLearn more: https://t.co/dFPv1w47dL\n\n#highlinecollege #getvaccinated https://t.co/g1aGcWagjf'",0,2,0
"2021-06-23 21:17:14","b'The PRCs goal is to reduce vaccine hesitancy and increase vaccine uptake in Clarkston by 50 percent by spring 2022. https://t.co/jsHMDLdzRw'",0,0,0
"2021-06-23 21:15:19","b'when ur state insurance doesnt cover the vaccine you need for college &lt;3 god bless the usa '",0,0,0
"2021-06-23 21:13:43","b""@NEfred @WSJ The reason people under 30 haven't been hit as hard - they're college age &amp; schoolkids who weren't as exposed to the virus as older adults. The schools &amp; colleges were learning remotely, especially until older adults had a vaccine. The vaccine adults got helped keep kids safe.""",0,0,1
"2021-06-23 21:13:22","b'@dogs_bourbon Agree. My college student\'s school has a vaccine incentive program. Such as free tuition and other ""gifts"". Who knows what will happen to her when she gets older.'",0,1,1
"2021-06-23 21:13:18","b'@GovRonDeSantis @Seminoles @FloridaGators @UMAdmission Vaccine Passport illegal but survey to gather political data on college students its okay-'",0,0,0
"2021-06-23 21:10:03","b""I chose to get the COVID19 vaccine not only for my own protection and health but also to protect those around me . . . choosing to get the vaccine protects me and the more vulnerable populations I interact with. - Annika Bassey, Harvard College, '22 https://t.co/HhYMPMDN1v""",14,72,0
"2021-06-23 21:07:56","b'@MassGovernor @MassGov \n\nLook at those red numbers.  That is the incidence post-vaccine compared to what is typical without it.  The FDA is recommending warning kids about the risks but what good is that if they are being forced to get them in order to attend college? https://t.co/RdGMGr6IbP'",1,1,0
"2021-06-23 21:04:05","b'@DemocracyDocket But heaven forbid suggesting a college student get the Covid vaccine, right @RonDeSantisFL?'",0,0,1
"2021-06-23 21:02:36","b'@BCBookmarks @BCAlumni @bclynchschool Does it advise on how to deal with the bullying of a college to mandate an emergency use vaccine which puts children and college kids at risk of death, myocarditis, seizures, etc...?'",0,0,1
"2021-06-23 21:01:26","b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,946,\nDose2 Capacity: 392,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"2021-06-23 21:00:46","b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,946,\nDose2 Capacity: 392,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
