"","clean_text","date","text","retweet_count","favorite_count","reply"
"1","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 468,944,Dose2 Capacity: 392,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 23:23:46,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,944,\nDose2 Capacity: 392,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"2"," If a college forces the vaccine, they should be sued out of existence.  Wreck less, fraud, deliberate withhold of facts on an experimental drug against a low risk illness does not allow schools immunity from suit",2021-06-23 23:16:54,"b'@RobSchneider If a college forces the vaccine, they should be sued out of existence.  Wreck less, fraud, deliberate withhold of facts on an experimental drug against a low risk illness does not allow schools immunity from suit'",0,0,1
"3"," My Deans List Sophomore unwelcome at her college w/o Covid vaccine.  She recovered on campus 2/2021!   Help us",2021-06-23 23:14:58,"b'@senatenj My Deans List Sophomore unwelcome at her college w/o Covid vaccine.  She recovered on campus 2/2021!   Help us'",0,0,0
"4"," are you paying out if your personal pocket for those college scholarships you gave away to people who got covid vaccine? I dont want my state tax dollars funding bribery",2021-06-23 23:12:56,"b'@NYGovCuomo are you paying out if your personal pocket for those college scholarships you gave away to people who got covid vaccine? I dont want my state tax dollars funding bribery'",0,0,0
"5"," please help my daughter in #NJ () return to college.  Shes declined vaccine as she recovered (on Campus) 2/2021",2021-06-23 23:09:29,"b'@tedcruz please help my daughter in #NJ (@GovMurphy) return to college.  Shes declined vaccine as she recovered (on Campus) 2/2021'",0,0,0
"6","Deathsantis say vaccine cards are wrong.. But they are mandating your party affiliation for college? Hmmm  stay off of third floors, never know when you could fall out of a deathsantis window! ",2021-06-23 23:00:52,"b'Deathsantis say vaccine cards are wrong.. But they are mandating your party affiliation for college? Hmmm  stay off of third floors, never know when you could fall out of a deathsantis window! https://t.co/fiGnokPqPK'",0,0,0
"7","Mandy Roberts wears many hats! She is a Centennial College graduate.She is a program PAC member.She is a compounding teaching assistant.And today, what is this? Mandy is on a TTC bus drawing up vaccine doses for TTC workers!WOW Mandy we are truly in awe!#pharmacytechnician ",2021-06-23 22:56:09,"b'Mandy Roberts wears many hats! \nShe is a Centennial College graduate.\nShe is a program PAC member.\nShe is a compounding teaching assistant.\nAnd today, what is this? Mandy is on a TTC bus drawing up vaccine doses for TTC workers!\nWOW Mandy we are truly in awe!\n#pharmacytechnician https://t.co/xCWtLpPDqe'",0,0,0
"8"," Why doesnt  organise community pharmacy to start vaccinating that age group now? #FirstDoseForFirstYears Get them all done before they head off to college    Leave the vaccine centres and GPs to carry on as they are.",2021-06-23 22:52:39,"b""@FergalBowers Why doesn't @HSELive organise community pharmacy to start vaccinating that age group now? #FirstDoseForFirstYears Get them all done before they head off to college @IrishPharmacy @ITCarlowSU @TheUSI Leave the vaccine centres and GPs to carry on as they are.""",0,4,1
"9","They should hire the Everest College guy to yell at everyone to get the vaccine. ",2021-06-23 22:42:58,"b'They should hire the Everest College guy to yell at everyone to get the vaccine. https://t.co/jTHVs8t2j8'",0,2,0
"10","Covac1, the sRNA Covid vax from Imperial College, has a second phase 1 trial registered, in Uganda: ",2021-06-23 22:26:18,"b'Covac1, the sRNA Covid vax from Imperial College, has a second phase 1 trial registered, in Uganda: https://t.co/jBIbkymkHy\n\nPotentially very important vax  (from my last post: https://t.co/tPtf7JcyLw) Records on the vax: https://t.co/q1kQPMYBJE https://t.co/HOooITU0Es'",4,25,0
