date,text,retweet_count,favorite_count,reply
2021-06-23 22:38:33,"b'@BillKristol But no vaccine passport,  idiot'",0,0,1
2021-06-23 22:35:56,b'@SteveDeaceShow Well when this becomes widely known &amp; it will Desantis just killed any chance at the white house.  \nhttps://t.co/bSUJogKBUv',0,0,0
2021-06-23 22:35:24,"b""@KayTeesTweeting @JaneCaro I'm happy to be vaccinated, happy to carry a 'vaccine passport,' be tested on arrival and departure. I want our government to be on the front foot - coherent, consistent, optimistic, careful, prepared, compassionate &amp; brave.""",0,1,1
2021-06-23 22:30:14,"b""The MolinaCares Accord, in collaboration with Passport Health Plan by Molina Healthcare, is offering a $100 gift card for members who have not yet received their COVID-19 vaccine! Check out Passport's CEO and Plan President, Ryan Sadler, announce this special incentive. https://t.co/LqMCZkojxO""",0,0,0
2021-06-23 22:30:14,"b'The MolinaCares Accord, in collaboration with Passport Health Plan by Molina Healthcare, is offering a $100 gift card for members who have not yet received their COVID-19 vaccine! https://t.co/dob5vxnJ9G'",0,0,0
2021-06-23 22:29:46,b'Falsified COVID cards forcing vaccine passport . https://t.co/EXaQnYU6rv',0,0,0
2021-06-23 22:23:28,b'@TUIUK can you tell me what the Tunisia requirements are travelling from Glasgow &amp; when I can fly there please. Ive had both vaccines. Ive ordered a vaccine passport just waiting on it. Thank you',0,0,0
2021-06-23 22:15:46,"b'@noddynoo I asked my vaccinated friends when they are supposed to get vaccinated again.  No one knows. So,  how does that work exactly with a vaccine passport?'",0,1,1
2021-06-23 22:11:41,b'Vaccine passport = Jewish white armbandUse moral reasons to classify people and control https://t.co/Kfl9F4vJuR@ScottMorrisonMP @ausgov @GladysB https://t.co/9UY6j6yIOP',0,0,0
2021-06-23 22:10:46,"b""@regina_grandma @SaskHealth Doubtful. They've made it pretty clear that they are against any kind of vaccine passport. Just open up on July 11, and let whatever happens,  happens""",0,0,1
2021-06-23 22:05:18,"b""The proposal was amended in the House, so has to go back to the state Senate for another vote before it can land on Democratic Gov. Tom Wolf's desk. Wolf said he will veto it. https://t.co/rXWkWCTRyi""",0,0,0
2021-06-23 22:02:31,"b""No appointments are required at any of our vaccine sites and walk-in service is available from 2 to 8 p.m.\nAll patients are required to show proof of age, such as birth certificate, passport, driver's license, or state ID card. For UCC locations visit https://t.co/37qJdRw3Kc""",1,1,1
