"","text","word_scores","compound","pos","neu","neg","but_count","positive","negative","neutral","assigned"
"1"," If a college forces the vaccine, they should be sued out of existence.  Wreck less, fraud, deliberate withhold of facts on an experimental drug against a low risk illness does not allow schools immunity from suit","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.9, 0, -2.507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, -1.1, -1.7, 0, 0, -0.666, 0, 0, 0, 0}",-0.918,0,0.674,0.326,0,0,1,0,"Negative"
"2"," My Deans List Sophomore unwelcome at her college w/o Covid vaccine.  She recovered on campus 2/2021!   Help us","{0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0}",0,0.121,0.759,0.121,0,0.5,0.5,0,"Negative"
"3"," are you paying out if your personal pocket for those college scholarships you gave away to people who got covid vaccine? I dont want my state tax dollars funding bribery","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.222, 0, 0, 0, 0, 0, 0}",-0.057,0,0.961,0.039,0,0,1,0,"Negative"
"4"," please help my daughter in #NJ () return to college.  Shes declined vaccine as she recovered (on Campus) 2/2021","{0, 1.3, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.612,0.217,0.783,0,0,1,0,0,"Positive"
"5","Deathsantis say vaccine cards are wrong.. But they are mandating your party affiliation for college? Hmmm  stay off of third floors, never know when you could fall out of a deathsantis window! ","{0, 0, 0, 0, 0, -1.05, 0, 0, 0, 0, 0, 2.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.42,0.107,0.836,0.057,1,0.652439024390244,0.347560975609756,0,"Positive"
"6","Mandy Roberts wears many hats! She is a Centennial College graduate.She is a program PAC member.She is a compounding teaching assistant.And today, what is this? Mandy is on a TTC bus drawing up vaccine doses for TTC workers!WOW Mandy we are truly in awe!#pharmacytechnician ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0}",0.583,0.081,0.919,0,0,1,0,0,"Positive"
"7"," Why doesnt  organise community pharmacy to start vaccinating that age group now? #FirstDoseForFirstYears Get them all done before they head off to college    Leave the vaccine centres and GPs to carry on as they are.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.052,0,0.967,0.033,0,0,1,0,"Negative"
"8","They should hire the Everest College guy to yell at everyone to get the vaccine. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"9","Covac1, the sRNA Covid vax from Imperial College, has a second phase 1 trial registered, in Uganda: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"10"," As a Rutgers College alumnus I support your refusal to accept the mandatory vaccination with the experimental and potentially dangerous vaccine.  Great job.","{0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 1.6, 0, 0.3, 0, 0, 0, 0, 0, 0, -2.1, 0, 3.1, 0}",0.765,0.326,0.579,0.095,0,0.774346793349169,0.225653206650831,0,"Positive"
"11","       Here read this article that says the rate of myocarditis in College athletes that have had COVID is 2.3%. Compare that to post vaccine (.001%).  ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"12"," Someone on our college parents board - objecting to the university announcing theyre requiring vaccines for the coming year - used her body, her choice about her daughter applying for medical/religious objection to the vaccine. I preemptively blocked that parent.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, 0}",-0.273,0,0.95,0.05,0,0,1,0,"Negative"
"13","   Not necessarily.  I know two school teachers, a nurse and several people in business who refuse the vaccine, all college educated.Its crazy.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, -1.4}",-0.557,0,0.82,0.18,0,0,1,0,"Negative"
"14","It is not worth the risk. The Pfizer vaccine is not safe. Im really concerned about all of the college students going back to campus and these universities mandating vaccines...Mother of teen with heart damage. ","{0, 0, 0, -0.666, 0, 0.814, 0, 0, 0, 0, 0, -1.406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.2}",-0.666,0.045,0.773,0.181,0,0.199115044247788,0.800884955752212,0,"Negative"
"15","NEW: Rhode Island College and the Community College of Rhode Island will require COVID-19 vaccine of all returning students ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"16","Oupa Mpapi Kekana, an educator from ModiriTechnical College got his COVID-19 vaccine today at Stanza Bopape Community Hall. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"17","Why these 3 new #COVID19 college and university vaccine mandates in Rhode Island and West Virginia may be significant ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8}",0.202,0.091,0.909,0,0,1,0,0,"Positive"
