"","text","positive","negative","assigned"
"1"," If a college forces the vaccine, they should be sued out of existence.  Wreck less, fraud, deliberate withhold of facts on an experimental drug against a low risk illness does not allow schools immunity from suit",0,1,"Negative"
"2"," My Deans List Sophomore unwelcome at her college w/o Covid vaccine.  She recovered on campus 2/2021!   Help us",0.5,0.5,"Negative"
"3"," are you paying out if your personal pocket for those college scholarships you gave away to people who got covid vaccine? I dont want my state tax dollars funding bribery",0,1,"Negative"
"4"," please help my daughter in #NJ () return to college.  Shes declined vaccine as she recovered (on Campus) 2/2021",1,0,"Positive"
"5","Deathsantis say vaccine cards are wrong.. But they are mandating your party affiliation for college? Hmmm  stay off of third floors, never know when you could fall out of a deathsantis window! ",0.652439024390244,0.347560975609756,"Positive"
"6","Mandy Roberts wears many hats! She is a Centennial College graduate.She is a program PAC member.She is a compounding teaching assistant.And today, what is this? Mandy is on a TTC bus drawing up vaccine doses for TTC workers!WOW Mandy we are truly in awe!#pharmacytechnician ",1,0,"Positive"
"7"," Why doesnt  organise community pharmacy to start vaccinating that age group now? #FirstDoseForFirstYears Get them all done before they head off to college    Leave the vaccine centres and GPs to carry on as they are.",0,1,"Negative"
"8"," As a Rutgers College alumnus I support your refusal to accept the mandatory vaccination with the experimental and potentially dangerous vaccine.  Great job.",0.774346793349169,0.225653206650831,"Positive"
"9"," Someone on our college parents board - objecting to the university announcing theyre requiring vaccines for the coming year - used her body, her choice about her daughter applying for medical/religious objection to the vaccine. I preemptively blocked that parent.",0,1,"Negative"
"10","   Not necessarily.  I know two school teachers, a nurse and several people in business who refuse the vaccine, all college educated.Its crazy.",0,1,"Negative"
"11","It is not worth the risk. The Pfizer vaccine is not safe. Im really concerned about all of the college students going back to campus and these universities mandating vaccines...Mother of teen with heart damage. ",0.199115044247788,0.800884955752212,"Negative"
"12","Why these 3 new #COVID19 college and university vaccine mandates in Rhode Island and West Virginia may be significant ",1,0,"Positive"
"13","VT Health Commissioner Dr. Mark Levine, on the difficulty of getting 18 to 29 year olds not in college vaccinated: Most of them are not a truly vaccine-resistant group Its just not at the top of their list right now. ",0,1,"Negative"
"14"," Thank you so much! My children attend a college where the vaccine has been mandated.  I hope, given this report, that they will resend the rule.",1,0,"Positive"
"15","  It is new, because this vaccine isnt FDA approved and the long-term effects are unknown. Can girls in their 20s who need it for college, have children later in life? I dont know! You dont know! And the medical community doesnt know! Im not anti-vax, Im anti-mandate.",0,1,"Negative"
"16","Highline College has joined numerous other colleges and universities around the country to take the #COVIDCollegeChallenge pledge and commit to action. Get the COVID-19 vaccine, Thunderbirds! #WeCanDoThisLearn more: ",1,0,"Positive"
"17","The PRCs goal is to reduce vaccine hesitancy and increase vaccine uptake in Clarkston by 50 percent by spring 2022. ",0.547368421052632,0.452631578947368,"Positive"
"18","when ur state insurance doesnt cover the vaccine you need for college &lt;3 god bless the usa ",1,0,"Positive"
"19","  The reason people under 30 havent been hit as hard - theyre college age &amp; schoolkids who werent as exposed to the virus as older adults. The schools &amp; colleges were learning remotely, especially until older adults had a vaccine. The vaccine adults got helped keep kids safe.",0.747663551401869,0.252336448598131,"Positive"
"20"," Agree. My college student\s school has a vaccine incentive program. Such as free tuition and other gifts. Who knows what will happen to her when she gets older.",1,0,"Positive"
"21","    Vaccine Passport illegal but survey to gather political data on college students its okay-",0.505703422053232,0.494296577946768,"Positive"
"22","I chose to get the COVID19 vaccine not only for my own protection and health but also to protect those around me . . . choosing to get the vaccine protects me and the more vulnerable populations I interact with. - Annika Bassey, Harvard College, 22 ",0.693181818181818,0.306818181818182,"Positive"
"23","  Look at those red numbers.  That is the incidence post-vaccine compared to what is typical without it.  The FDA is recommending warning kids about the risks but what good is that if they are being forced to get them in order to attend college? ",0.347417840375587,0.652582159624413,"Negative"
"24"," But heaven forbid suggesting a college student get the Covid vaccine, right ?",0.601049868766404,0.398950131233596,"Positive"
"25","   Does it advise on how to deal with the bullying of a college to mandate an emergency use vaccine which puts children and college kids at risk of death, myocarditis, seizures, etc...?",0,1,"Negative"
