text,positive,negative,assigned,Jakob,Jamie,Darren,Final Decision,Agree w/ Vader,Heather
Weve heard that false information about the COVID-19 vaccine has made some women hesitant about getting the jab.The Royal College of Midwives and The Royal College of Obstetricians and Gynaecologists say that there is no evidence to suggest this. #CovidVaccine,0.00,1.00,Negative,p,p,p,p,n,
Completely agree. Be smart and get the vaccine and youre taking out the most obnoxious team in college baseball.,0.64,0.36,Positive,p,p,p,p,y,
"You know whats even crazier than indiscriminately mandating healthy college kids get the COVID-19 vaccine?Doing that, yet NOT mandating it for staff, the ones who are ACTUALLY at risk.Make it make sense!",0.73,0.27,Positive,a,a,u,a,n,
"Not my problem. Ive not been seeing anyone since covid happened and I only go to shops and college, in my area theres been no cases for a while now so Im good. Im 18 and healthy I do not need the vaccine.",0.79,0.21,Positive,a,a,a,a,n,
"If those wanting a vaccine got the vaccine why do they care? Let other people worry about themselves. I bet these mask people have issues I could critique, are they saving for their kids college? Are the eating healthy? Do they text while they drive? Do they read to their kids?",0.70,0.30,Positive,a,,a,a,n,
"NC States fault, if you want to play get the vaccine its not about politics its about your best chance to win the College World Series, teams with the vaccine have the best shot cause they cant get covid and get booted lol dumb players and coaches",0.78,0.22,Positive,p,p,p,p,y,
I imagine there will be an alarming number of freshmen who opt out of college to avoid taking the vaccine.,0.26,0.74,Negative,a,p,p,u,n/a,
"I understand the jab (vaccine) is still experimental, in Canada the College of Physicians &amp; politicians have banned the use of Ivermectin for the treatment of COVID-19. Peru, Mexico, India provided to citizens and decimated COVID-19. Seems they all should be charged with murder.",0.00,1.00,Negative,p,a,u,a,y,
uhhhhh just overheard my mom say if my sister gets the vaccine theyre gonna stop paying for her college haha what the fuck,0.35,0.65,Negative,p,p,p,p,n,
"State GOP lawmakers are moving to block universities from requiring returning students to have proof of Covid vaccinations or get the vaccine itself, in a push that could complicate President Joe Bidens effort to get shots to young adults",0.00,1.00,Negative,p,p,u,p,n,
Students suing Indiana University over their vaccine mandate because its against their constitutional rights. Please tell me where in the constitution it says its a constitutional right to go to college?!?,0.58,0.42,Positive,p,p,p,p,y,
"The politicization of vaccines that literally save our lives is mind-bendingly stupid. While declining to say whether he encouraged his players to get vaxxed, NC State coach said if you want to talk politics...talk to my head of sports med",0.67,0.33,Positive,p,p,p,p,y,
"CONGRATS, VANIA OF WILMINGTON! 14-year-old Vania won the $125K scholarship in the states first vaccine lottery drawing. The high school freshman just landed a summer job to help her pay for college - then this happened!",0.89,0.11,Positive,,p,p,p,y,
Lets try NC college student incentive$ prior to move-in. $500 per Student Or Parent of Student? $1M will get us 2K vax. Bonu$ to NC college w=highest vax rate! #ncgov#NC doctors being incentivized to counsel Medicaid patients about COVID-19 vax,1.00,0.00,Positive,,p,p,p,y,
Except vaccinated players apparently tested positive too. So the vaccine narrative doesnt work.,1.00,0.00,Positive,,a,a,a,n,
"~a 1/3 of HS &amp; college athletes who got covid last year got myocarditis. Thats *way* more than the % who developed it after vaccine. So yes, lets talk about risk assessment.",0.59,0.41,Positive,,p,p,p,y,
"Listen folks. This *will* cost lives. Mandating proof of vaccinations for enrollment in college is *not* new. Its been a thing for a long time, for many vaccinations. Please, please, please - still get your COVID-19 vaccine",1.00,0.00,Positive,,p,p,p,y,
"Ill go to college &amp; get a job I hate, so I can live in a house the bank owns, but I wont get the vaccine because I refuse to do what the government tells me.",0.00,1.00,Negative,,u,u,p,n,
"Various scenarios: colleges/universities in Ontario have indicated mandatory in order to attend residence (Western, Ryerson, ?Seneca College); overlapping messages re travel, quarantine, and vaccine status; some workplaces. ?Legality #cpso",1.00,0.00,Positive,,u,u,u,n/a,
Yep. They are also forcing everyone in college to take the vaccine if they want to come back to school. Meanwhile only 50% of CDC employees have been vaccinated. That should be a red flag to everyone. If the CDC isnt fully vaccinated why do I neee to be? Complete bullshit.,0.48,0.52,Negative,,a,a,a,y,
"This is a study from a medical college. They missed collection data on infections on the rest of the HCWWhat happened to previously infected HCW who did not get a vaccine prior to the second wave.We have residents who got infected, then got vaccine and got RTPCR positive again",0.30,0.70,Negative,,a,a,a,y,
There is no upside to giving teenagers and college students Covid vaccine. Only downside. Please stop doing this to your children.. also please dont use in women of childbearing age or if pregnant or could become pregnant.,0.52,0.48,Positive,,a,a,a,n,
Why?? Why have these people decided the COVID vaccine is bad and shouldnt be required and yet all of the other vaccines that are required to enter regular K12 school and college are okay? These people are dumb,0.21,0.79,Negative,,p,p,p,n,
Those fired at Methodist College. Is fighting. After all they done for the past year through life and death theyre making them get a vaccine that most of them dont need because they caught Covid. Lawsuits are in the process and theyve said supreme court if necessary.God Bless,0.36,0.64,Negative,,a,a,a,y,
"Reality is still setting in for recent Myrtle Grove Middle School grad Vania Martinez, who could not believe that she had won North Carolinas first Cash 4 College vaccine lottery.",1.00,0.00,Positive,,p,p,p,y,
"2 of 2 in the past was subject to vaccine passport (yellow fever), mandatory vaccination (hep B) &amp; had family member required to disclose vaccine status prior to study at US college. No problem with those. Entirely acceptabl",1.00,0.00,Positive,,p,p,p,y,
My son has a congenital condition. I spoke with his specialist who he has seen since he was born. We choose not to get the Covid vaccine. His college is mandating the vaccine. This is a problem.,0.00,1.00,Negative,,a,a,a,y,
"At the very end they admit they were wrong about J&amp;J vaccine, this fact check is as reliable as someone using wikipedia as a source for their college assingment",0.40,0.60,Negative,,u,a,u,n/a,
How College Students Can Say .No! to a Mandatory Vaccine -,0.34,0.66,Negative,,a,a,a,y,
Youre aware you can still test positive with vaccine right? And also covid has contributed in zero deaths of college athletes.,1.00,0.00,Positive,,a,p,a,n,
Kindly reply to my tweet regarding the date of 2nd dose of Covaxin at Jorhat College. I took the vaccine on 20-06-2021 but it has come 22-06-2021 in the certificate. Kindly make the due correction.,1.00,0.00,Positive,,p,u,p,y,
And do ppl (esp. docs) not c a difference b/w acquiring COVID naturally and having a complication vs. complications arising from a state/college/society mandate for healthy citizens to get a vaccine ?moral calculus &gt;&gt; utilitarian calculus#trolleyology,1.00,0.00,Positive,,a,a,a,n,
Dont forget! We have a 2nd Dose Pfizer COVID-19 Vaccine Clinic happening today from 1:30 pm-5:00 pm at the PSJA Dr. Daniel King College &amp; University Center in San Juan!,1.00,0.00,Positive,,p,p,p,y,
