"","access","mening","pandem","york","inelig","lot","nthe","program","summer","winner","countri","execut","healthi","research","semest","tomorrow","big","charg","decis","point","provid","sport","counti","famili","return","encourag","medicin","white","exam","monei","resid","coach","feel","governor","proof","footbal","posit","protocol","rate","understand","ducei","job","site","choic","wait","daughter","disast","draw","experiment","run","visit","walk","danger","drive","vax","american","call","tuition","immun","opinion","slot","certif","your","doctor","incent","parent","elig","friend","hous","join","safe","case","includ","learn","life","north","stop","hunter","institut","scienc","son","adult","govern","inform","read","approv","depart","hill","challeng","plan","polit","apologis","sir","talk","deenanath","have","navail","nslot","shivajinagar","high","pvt","studi","enter","arizona","book","care","dr","good","wear","myocard","fulli","india","passport","nage","show","gov","mandatori","person","live","take","thing","ban","basebal","protect","group","viru","announc","week","juli","cash","end","mistak","class","due","issu","staff","chanc","team","full","im","put","appoint","give","nc","prize","start","happen","back","educ","new","plai","effect","children","open","order","freshman","player","june","offer","sydnei","forc","attend","nsw","dai","public","work","fall","young","lotteri","time","problem","million","bmcc","hospit","di","risk","mask","campu","win","test","dont","clinic","error","heart","seri","joseph","moderna","month","todai","shot","world","center","commun","jab","privat","free","make","athlet","scholarship","kid","st","univers","receiv","state","mandat","health","amp","pfizer","requir","peopl","year","dose","school","pm","nmin","nnaval","vaccinepun","code","pin","cowin","ndate","limit","covishield","nvaccin","student","medic","pune","ag","ndose","capac"
"access",51,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,7,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0,3,5,0,0,2,4,0,0,0,3,3,0,0,1,0,1,0,3,0,3,4,3,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,5,1,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,2,0,0,17,2,1,1,2,1,0,1,1,0,0,0,0,3,0,7,0,2,0,1,4,0,0,8,0,1,1,0,0,0,10,1,17,6,5,1,0,3,7,6,3,0,2,18,1,12,2,6,6,1,18,1,0,0,0,0,0,0,0,2,0,0,19,2,0,5,0,0
"mening",0,51,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,2,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,1,1,0,2,0,1,0,0,1,0,0,0,2,2,0,1,2,1,1,1,0,1,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,1,6,1,1,1,0,1,1,2,0,0,8,0,0,1,2,2,2,1,0,20,5,2,0,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0
"pandem",0,1,51,0,0,1,2,0,0,1,7,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,3,1,2,0,1,4,0,0,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,1,0,3,5,1,1,1,2,1,0,2,1,2,0,1,0,2,1,3,0,1,1,4,0,3,0,1,0,0,0,0,0,0,4,0,2,1,0,0,3,1,0,1,0,0,1,1,0,2,1,0,2,4,0,4,1,2,1,0,2,0,2,1,0,6,0,3,0,1,1,2,2,1,4,2,0,2,0,0,3,1,0,3,1,2,0,0,0,1,1,1,0,0,1,1,1,0,1,1,3,1,1,1,2,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,3,0,2,3,0,4,2,1,1,3,5,5,1,3,0,3,6,2,3,5,7,5,8,0,0,0,0,0,0,0,0,1,1,0,5,4,0,2,0,0
"york",0,0,0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,1,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,24,0,0,22,22,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,1,0,0,1,22,4,0,0,0,0,1,0,25,0,0,2,1,25,0,0,0,3,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"inelig",10,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,1,2,0,0,0,1,1,0,1,1,47,0,2,0,0,3,3,0,1,1,0,12,0,46,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0
"lot",0,1,1,0,0,52,0,0,1,0,0,0,0,2,1,4,0,1,1,1,1,1,0,1,1,0,1,0,2,4,0,0,5,1,0,1,1,0,1,1,0,2,1,1,1,2,1,0,1,0,0,2,0,1,1,0,0,1,3,0,0,1,0,0,0,1,1,3,2,0,1,1,3,0,1,1,1,1,0,2,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,2,1,2,1,0,1,0,1,0,0,0,1,0,0,1,6,0,0,2,1,0,0,0,0,0,0,1,2,1,0,1,0,1,0,6,0,0,1,2,1,2,0,3,1,3,2,5,0,0,1,0,1,3,1,2,1,1,1,1,1,1,1,0,0,5,1,1,0,0,1,2,2,1,0,2,3,3,2,0,0,1,0,2,2,0,0,1,1,2,2,2,4,2,1,1,2,0,3,2,1,4,6,4,5,8,4,4,7,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
"nthe",0,0,2,0,0,0,52,1,1,0,0,1,0,1,0,0,0,0,2,1,0,0,1,1,1,1,1,0,0,0,1,2,1,1,1,1,0,0,1,0,0,0,2,0,2,0,0,1,0,0,1,1,3,0,0,0,1,0,1,1,1,0,0,3,1,2,2,1,0,0,0,1,1,0,1,1,1,1,0,2,1,2,0,1,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,1,2,0,2,1,0,0,2,0,0,1,2,0,0,1,0,0,1,0,0,2,0,2,1,2,2,0,1,4,1,1,1,0,2,1,0,2,2,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,2,3,3,0,0,2,1,2,2,5,1,1,2,1,0,0,3,1,2,0,5,1,1,1,2,2,2,1,3,2,1,3,2,1,7,1,3,3,1,2,0,1,1,4,3,4,5,6,4,10,8,5,2,8,8,9,2,0,0,0,0,0,0,0,0,1,1,14,6,1,3,0,0
"program",0,0,0,0,0,0,1,52,1,2,0,0,0,1,1,0,2,0,0,2,1,1,1,1,0,11,0,1,2,0,4,1,0,1,2,0,0,0,0,2,0,1,0,0,0,1,0,6,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,1,22,0,2,2,1,1,0,0,2,1,0,0,1,3,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,1,0,0,1,1,1,0,5,0,2,12,1,0,0,0,0,1,5,2,2,2,0,0,2,2,9,2,2,0,2,1,1,2,0,0,0,0,0,0,4,0,0,1,0,2,1,0,2,0,4,3,0,18,0,0,0,0,1,0,11,2,2,1,0,0,1,4,2,8,4,5,1,0,1,10,0,5,1,1,8,1,4,1,2,3,2,2,1,5,3,6,4,4,3,2,0,0,0,0,0,0,0,0,0,0,14,1,0,4,0,0
"summer",0,0,0,0,0,1,1,1,52,7,0,0,0,3,0,1,5,0,1,0,0,1,2,1,1,1,1,0,0,2,2,0,0,0,0,1,0,1,1,0,0,6,1,0,0,1,0,15,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,2,2,2,2,2,0,1,1,0,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6,4,2,15,0,0,0,1,0,0,10,0,3,0,0,0,0,3,3,4,1,1,8,6,0,1,1,0,0,2,0,3,3,0,1,0,0,2,2,1,1,1,6,0,0,15,0,0,0,0,0,3,13,0,1,3,0,0,0,0,0,0,4,4,0,1,2,0,0,1,3,0,4,2,1,0,2,3,0,4,9,1,2,6,8,1,7,1,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1
"winner",0,0,1,1,0,0,0,2,7,52,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,9,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,7,1,2,0,0,1,0,0,3,1,2,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,23,2,1,20,0,0,0,0,0,0,2,0,9,0,0,1,0,6,15,2,0,1,2,0,0,0,3,1,0,0,0,0,4,0,0,0,0,1,2,1,0,2,27,0,0,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,4,2,1,36,0,0,4,3,3,0,0,2,1,0,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1
