"","access","mening","pandem","york","inelig","lot","nthe","program","summer","winner","countri","execut","healthi","research","semest","tomorrow","big","charg","decis","point","provid","sport","counti","famili","nvaccin","return","encourag","medicin","white","exam","monei","resid","coach","feel","governor","proof","footbal","posit","protocol","rate","understand","ducei","job","site","choic","wait","daughter","disast","draw","experiment","run","visit","walk","danger","drive","vax","american","call","tuition","immun","opinion","slot","certif","your","doctor","incent","parent","elig","friend","hous","join","safe","case","includ","learn","life","north","stop","hunter","institut","scienc","son","adult","govern","inform","read","approv","depart","hill","challeng","plan","polit","apologis","sir","talk","hospit","high","studi","enter","arizona","book","care","dr","good","wear","myocard","fulli","india","passport","show","gov","mandatori","person","live","take","thing","ban","basebal","protect","group","viru","announc","week","juli","cash","end","mistak","class","due","issu","staff","chanc","team","full","im","put","appoint","give","nc","prize","start","happen","back","educ","new","pm","plai","effect","center","children","open","order","freshman","player","june","offer","sydnei","forc","attend","nsw","dai","public","work","fall","young","lotteri","time","problem","million","di","risk","medic","mask","campu","win","test","dont","clinic","error","heart","seri","joseph","moderna","month","todai","shot","world","commun","jab","privat","free","make","athlet","scholarship","kid","st","ag","univers","receiv","state","mandat","health","amp","pfizer","requir","peopl","year","dose","school","student"
"access",0,2,2,2,1.60769230769231,2,2,2,2,2,2,2,1.96039215686275,2,2,1.96076923076923,1.96039215686275,2,2,2,1.72538461538462,2,1.96039215686275,1.88117647058824,2,2,2,2,1.96181818181818,2,2,2,2,2,2,2,2,2,2,1.96245614035088,1.63050847457627,2,2,2,2,1.96333333333333,2,2,2,2,2,1.96360655737705,2,2,2,1.96181818181818,2,1.96360655737705,1.893125,1.96387096774194,2,1.96214285714286,2,2,2,2,2,2,2,1.89081967213115,1.82307692307692,2,2,1.93058823529412,1.86202898550725,2,2,2,1.89714285714286,1.89588235294118,2,2,1.96484848484848,2,1.96507462686567,2,1.89522388059701,2,1.89890410958904,1.86029850746269,1.89714285714286,1.96484848484848,2,1.96360655737705,2,2,1.93368421052632,2,2,2,1.964375,1.89588235294118,2,2,2,2,2,2,2,1.93435897435897,2,2,1.9673417721519,2,2,2,2,2,2,1.96837209302326,1.96765432098765,2,2,1.96850574712644,2,2,1.96809523809524,1.96901098901099,2,2,1.84444444444444,1.96979591836735,2,2,1.96901098901099,2,1.97029126213592,2,2,2,2,2,1.91196261682243,1.96989898989899,2,1.96780487804878,2,2,2,2,1.97159663865546,2,2,2,2,1.97212598425197,1.944375,2,2,1.52178861788618,1.944375,1.97248120300752,1.97259259259259,1.94571428571429,1.97275362318841,2,1.97324324324324,1.97315068493151,2,2,1.91777777777778,1.94692810457516,2,1.8151282051282,2,1.94601398601399,2,1.97346405228758,1.89333333333333,2,2,1.79375722543353,2,1.97438202247191,1.97441340782123,2,2,1.74505494505495,1.97489795918367,1.575,1.84858638743455,1.87435897435897,1.97509803921569,2,1.92666666666667,1.8318875502008,1.87967479674797,1.85769516728625,1.92943661971831,2,1.95410029498525,1.58957983193277,1.9769512195122,1.72946564885496,1.95475065616798,1.86421052631579,1.86540145985401,1.97761336515513,1.60484375,1.60268003646308
"mening",2,0,1.95959183673469,2,2,1.95998399359744,2,2,2,2,1.96036106750392,2,2,1.95998399359744,2,1.96036106750392,2,2,1.96072391220639,2,2,2,2,2,1.96107331821618,2,2,2,2,2,2,2,1.96141001855288,2,2,1.84289564882557,2,2,2,1.96204797708557,1.96264268419232,2,2,2,2,2,1.8494018296974,2,2,2,2,2,2,2,2,1.96141001855288,1.96396683673469,1.96319839411174,2,1.92692560895326,2,2,2,2,2,2,1.96264268419232,2,2,2,2,1.96466646360037,2,1.96488595438175,2,2,2,1.96346280447663,2,2,1.96292517006803,2,1.96444032158318,2,2,2,1.96466646360037,2,2,2,2,1.96444032158318,2,2,2,2,2,1.96550732969244,1.75714285714286,2,2,2,2,2,2,2,2,2,1.9344923154447,2,2,1.90127551020408,1.96693360888659,1.93479342956695,2,1.83843537414966,2,2,1.93418367346939,2,2,2,1.96796392975795,2,2,2,2,2,2,1.96835588167851,2,1.96938775510204,2,2,2,1.96928255838418,2,2,1.96949082663368,2,1.93856511676836,2,2,1.96949082663368,1.97024604234217,2,2,1.93995290423862,1.96997645211931,2,1.97118847539016,2,2,1.97066326530612,2,2,2,1.94237695078031,1.94355867346939,2,1.97177933673469,1.94414607948443,1.97218442932729,1.97244897959184,1.9723454599231,2,1.97283507997794,1.9727425216662,2,2,2,1.97305588902228,2,1.91954474097331,2,2,1.94611177804455,2,2,2,2,2,2,1.9739738592066,1.97400524455592,1.84140644209491,1.97403628117914,1.97409733124019,2,1.97459183673469,1.97435623464045,1.94892726321298,2,2,1.801179138322,2,2,2,1.97607070997413,1.95285455954534,1.95328396845464,1.95358143257303,1.97654305624689,2,1.53934329637367,1.88480128893663,1.95431749342073,2,1.91055484693878,1.91472103882574
"pandem",2,1.95959183673469,0,2,2,1.96039215686275,1.92078431372549,2,2,1.95959183673469,1.72538461538462,1.9611320754717,2,2,2,2,1.96039215686275,1.96148148148148,2,2,1.96076923076923,1.96039215686275,2,1.96039215686275,2,1.96148148148148,1.96214285714286,2,1.88545454545455,1.95777777777778,1.92,2,1.96181818181818,1.85103448275862,2,2,1.88444444444444,1.96181818181818,2,1.96245614035088,1.88915254237288,1.96333333333333,1.96214285714286,2,2,2,2,2,2,2,2,1.96360655737705,2,2,2,2,1.964375,2,2,2,2,2,2,1.96333333333333,1.964375,1.92923076923077,1.92610169491525,1.96507462686567,2,1.89081967213115,1.82307692307692,1.96507462686567,1.96412698412698,1.96529411764706,1.93101449275362,1.96387096774194,2,1.92774193548387,1.96571428571429,1.93058823529412,2,1.96484848484848,2,1.93014925373134,1.96507462686567,1.89652173913043,2,1.96611111111111,1.96630136986301,1.86029850746269,2,1.89454545454545,2,1.96360655737705,2,1.96611111111111,1.86736842105263,1.93183098591549,1.96571428571429,2,2,1.89588235294118,1.96630136986301,2,1.9675,2,2,1.96529411764706,1.96765432098765,1.93435897435897,1.96795180722892,2,1.9346835443038,1.87121951219512,2,1.87238095238095,1.96795180722892,1.93560975609756,1.9675,2,1.93530864197531,2,1.93674418604651,1.96850574712644,2,1.81258426966292,2,1.90703296703297,2,1.96876404494382,1.96888888888889,1.93959183673469,1.93826086956522,1.96989898989899,1.87604395604396,1.93938144329897,2,1.93979797979798,2,2,1.90907216494845,1.97038461538462,2,1.90969696969697,1.97065420560748,2,1.93777777777778,2,2,2,2,1.97029126213592,1.97180327868852,1.97107142857143,2,2,1.9721875,1.97159663865546,1.9721875,2,1.9721875,1.97248120300752,1.91777777777778,1.97285714285714,1.97275362318841,1.97310344827586,1.94648648648649,2,1.97310344827586,2,1.97259259259259,1.89385620915033,1.97346405228758,1.97358974358974,1.97310344827586,1.97300699300699,1.97346405228758,2,2,1.97393939393939,2,1.97421965317919,2,2,2,1.97397590361446,1.92333333333333,1.94901098901099,1.92469387755102,2,1.89905759162304,1.94974358974359,1.97509803921569,1.97547511312217,1.92666666666667,1.87991967871486,1.95186991869919,1.8814126394052,1.97647887323944,1.93050632911392,2,1.93159663865546,1.86170731707317,1.95491094147583,1.93212598425197,1.88684210526316,1.84296836982968,1.88806682577566,1.824375,1.89544211485871
"york",2,2,2,0,2,2,2,2,2,1.95998399359744,2,2,2,2,2,2,2,2,2,2,2,2,1.96078431372549,2,2,2,2,2,2,2,2,2,2,2,1.96284829721362,2,2,2,1.18931710615281,2,2,2,2,2,2,2,2,2,2,2,1.20196078431373,2,2,2,2,2,2,2,1.18964460784314,2,2,2,2,2,2,1.96500754147813,1.96344300432037,2,2,2,2,2,2,1.9656862745098,2,2,1.11338448422847,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.96610644257703,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.32143643974444,2,2,1.33206831119545,2,2,1.97018807523009,2,1.28698752228164,2,2,1.88273367599467,2,2,2,2,2,2,2,2,2,2,2,1.88310708898944,1.97154259934062,2,2,2,2,2,1.36791724563841,2,2,2,2,2,1.34896063688633,2,2,1.40920716112532,1.41690331304936,1.41997880233174,2,2,2,2,2,2,2,1.97349560513861,2,2,2,2,2,1.43448110951698,2,1.97440413291065,2,2,1.9743680604772,1.44640522875817,2,2,2,2,1.97526395173454,2,1.39668174962293,2,2,1.95265423242468,1.95334936948757,1.97687103010218,1.43068999751799,2,2,2,1.93354288280198,2,1.51073271413829,1.97795906683841,1.97800552201788,2,1.97948057983449
"inelig",1.60769230769231,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1.96116138763198,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.96258741258741,2,2,1.63820078226858,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.96258741258741,2,1.96437578814628,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.96627647714604,2,1.96648351648352,2,2,2,2,1.9658438576349,2,2,2,2,1.96707060063224,2,2,1.96561771561772,1.96725571725572,2,2,2,2,2,2,2,2,1.96606334841629,2,2,2,2,2,2,2,2,2,2,1.96811100292113,2,2,2,2,1.96857410881801,2,1.96914132379249,2,2,2,2,2,2,2,2,2,2,2,2,1.96989966555184,2,2,2,2,2,1.97066822066822,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.97184065934066,2,2,1.05348557692308,1.97236586942469,2,1.64430894308943,2,2,1.97336182336182,2,2,2,2,2,2,2,2,2,2,2,1.97387267904509,1.97377622377622,2,2,1.87051282051282,2,1.97467166979362,1.94997776789684,2,2,2,1.97474513438369,1.97521367521368,1.97527472527473,1.9756671899529,0.861153846153846,2,1.95128205128205,2,2,1.92897435897436,1.93025949953661,1.97670419011882,2,1.97724810400867,1.97760467380721,2,1.73561732385262,2,0.998336269328636,2,2,1.9783361407449,2,1.00435697115385,1.23459084215693
"lot",2,1.95998399359744,1.96039215686275,2,2,0,2,2,1.95998399359744,2,2,2,2,1.92156862745098,1.95955882352941,1.8446455505279,2,1.96187363834423,1.96152423233444,1.96152423233444,1.96116138763198,1.96078431372549,2,1.96078431372549,2,1.96187363834423,2,1.95865302642796,2,1.91633986928105,1.84156862745098,2,2,1.815753887762,1.96284829721362,2,1.96187363834423,1.96221033868093,2,1.96284829721362,1.96344300432037,2,1.9250700280112,1.96221033868093,1.96152423233444,1.96372549019608,1.9263015551048,1.96399871423979,2,1.96399871423979,2,2,1.92688600864074,2,1.9631507775524,1.96221033868093,2,2,1.96476715686275,1.89278937381404,2,2,1.96372549019608,2,2,2,1.96344300432037,1.96546678372842,1.89117647058824,1.92799742847959,2,1.96546678372842,1.96451914098973,1.89705882352941,2,1.96426312460468,1.96589940323956,1.96426312460468,1.96610644257703,2,1.92745098039216,2,2,2,1.96546678372842,1.96589940323956,1.96546678372842,1.96650326797386,1.96669352672576,2,2,2,2,1.92799742847959,2,2,1.93446852425181,1.96630764982049,2,2,2,1.93137254901961,1.96669352672576,1.93481028775146,1.96789215686275,2,1.96789215686275,2,1.9680464778504,2,2,1.96789215686275,2,2,1.9680464778504,1.8109243697479,2,2,1.93578431372549,1.968764249886,2,2,2,2,2,2,1.96848739495798,1.93880629174747,1.9696394686907,2,1.96928104575163,2,1.96952259164535,2,1.8164188752424,2,2,1.97029114676174,1.94058229352347,1.96889790398918,1.94016575702446,2,1.91313908741067,1.97029114676174,1.91313908741067,2,1.93856209150327,1.8538838612368,1.97077677224736,2,2,1.97068341899867,2,1.97146358543417,1.91698292220114,1.97251814111471,1.94515931372549,1.97198879551821,1.97257965686275,1.97226207556193,1.97257965686275,1.97287335987026,1.97298474945534,1.97324929971989,2,2,1.86817700052994,1.97354284179425,1.97349560513861,1.97376964030645,1.94596949891068,1.97385620915033,1.94771241830065,1.97398190045249,2,1.94679829973948,1.92156862745098,1.92156862745098,1.94745098039216,2,2,1.97461181004194,2,1.94954835866931,1.94961112936795,2,2,1.97489765136824,1.95058023209284,1.95078431372549,1.95031310953701,1.90105580693816,1.95098039215686,1.97586726998492,1.9759477124183,1.95275218521143,1.97632711621234,2,1.93061309030655,1.95445519980144,1.97744230435537,1.91036414565826,1.86406025824964,1.91139051040263,1.88883742473367,1.82208462332301,1.91183626735366,1.91202208807151,1.84907322303922,1.79480579834486
"nthe",2,2,1.92078431372549,2,2,2,0,1.96116138763198,1.95998399359744,2,2,1.96152423233444,2,1.96078431372549,2,2,2,2,1.92304846466889,1.96152423233444,2,2,1.96078431372549,1.96078431372549,1.96187363834423,1.96187363834423,1.9625350140056,1.95865302642796,2,2,2,1.96187363834423,1.92442067736185,1.9631507775524,1.96284829721362,1.96152423233444,1.96187363834423,2,2,1.96284829721362,2,2,2,1.92442067736185,2,1.92745098039216,2,2,1.95955882352941,2,2,1.96399871423979,1.96344300432037,1.89278937381404,2,2,2,1.96399871423979,2,1.96426312460468,1.96451914098973,1.9625350140056,2,2,1.89430147058824,1.96500754147813,1.92688600864074,1.93093356745683,1.96372549019608,2,2,2,1.96451914098973,1.9656862745098,2,1.96426312460468,1.96589940323956,1.96426312460468,1.96610644257703,2,1.92745098039216,1.96524064171123,1.93048128342246,2,1.96546678372842,1.96589940323956,1.96546678372842,1.93300653594771,2,2,2,1.93048128342246,2,2,1.96589940323956,1.89950980392157,2,1.93261529964098,1.96610644257703,1.96669352672576,1.92953431372549,2,1.93338705345152,1.96740514387573,2,2,1.93578431372549,2,2,1.93514328808446,2,2,1.96773392901464,2,2,1.96848739495798,2,2,1.93578431372549,2,1.9360929557008,1.96928104575163,1.937528499772,1.93779580797836,2,1.96915620180657,1.87394957983193,1.96940314587373,1.9696394686907,1.96915620180657,2,1.94037615046018,1.96952259164535,2,1.93880629174747,1.94016575702446,2,1.97029114676174,1.97029114676174,2,2,2,1.97104636247022,2,2,1.93639406982305,1.96928104575163,1.97077677224736,1.79543740573152,1.97154259934062,1.97198879551821,1.97068341899867,1.97219543555127,2,1.94465528146743,1.91755442334414,1.91773897058824,2,2,1.94452415112386,1.97257965686275,1.94574671974053,1.94596949891068,1.86624649859944,1.97314578005115,1.97349560513861,1.94727080021198,1.97354284179425,2,1.97376964030645,1.94596949891068,1.84313725490196,2,1.86990950226244,1.97349560513861,1.97339914986974,1.97385620915033,1.94771241830065,1.94745098039216,1.94866310160428,1.97429459588714,1.92383543012581,1.9488082658213,1.97477417933466,1.92441669405192,1.94873612095441,1.97483660130719,1.97489765136824,1.92587034813926,1.92617647058824,1.9751565547685,1.95052790346908,2,1.97586726998492,1.9759477124183,1.90550437042287,1.92898134863702,1.93002405423136,1.90748412040873,1.8861379995036,1.86465382613222,1.91036414565826,1.7734337637494,1.82278102080527,1.88883742473367,1.95552115583075,1.82367253470731,1.82404417614301,1.80595128676471,1.71272811768281
"program",2,2,2,2,2,2,1.96116138763198,0,1.96036106750392,1.92072213500785,2,2,2,1.96116138763198,1.9599358974359,2,1.92232277526395,2,2,1.92380261248186,1.96153846153846,1.96116138763198,1.96116138763198,1.96116138763198,2,2,1.59203296703297,2,1.96258741258741,1.91709401709402,2,1.84900284900285,1.96258741258741,2,1.96322537112011,1.92380261248186,2,2,2,2,1.92764015645372,2,1.96291208791209,2,2,2,1.96352785145889,2,1.75961538461538,2,2,2,2,1.96464019851117,2,1.96258741258741,1.96514423076923,1.96437578814628,1.93028846153846,2,2,2,2,2,1.96514423076923,1.23846153846154,2,1.9316877152698,1.92820512820513,1.96437578814628,1.96538461538462,2,2,1.93212669683258,1.96627647714604,2,2,1.96464019851117,1.89945054945055,2,2,2,2,2,1.9658438576349,1.96627647714604,2,1.96688034188034,1.90121180189673,1.9658438576349,2,2,2,2,1.93255295429208,2,2,2,1.96648351648352,2,2,2,2,2,1.96826923076923,2,1.96826923076923,2,2,2,1.90616311399444,1.96826923076923,2,2,1.96842355175689,2,2,1.96857410881801,1.96826923076923,1.96914132379249,2,1.8482905982906,2,1.93854995579134,1.61923076923077,1.96953327571305,2,2,2,2,1.96965811965812,1.85282574568289,1.93979933110368,1.94133644133644,1.93956043956044,2,2,1.94133644133644,1.94133644133644,1.72347480106101,1.94091990483743,1.94230769230769,2,1.94133644133644,1.97142343637671,1.93714821763602,1.96965811965812,1.94230769230769,2,2,2,2,2,2,2,1.8915808600848,2,2,1.97295673076923,2,1.94591346153846,1.97325043377675,2,1.94725274725275,2,1.89549071618037,1.92203742203742,2,1.52970822281167,2,2,1.97423328305681,1.97423328305681,2,1.71259946949602,1.94755244755245,1.94846656611362,1.97423328305681,2,2,1.97467166979362,1.89995553579369,1.94956241363427,1.80121002592913,1.90073055436184,1.87372567191844,1.97521367521368,1.97527472527473,1.75667189952904,2,1.87766814337495,1.97564102564103,1.97586726998492,1.80995475113122,1.97632478632479,1.90701266604881,1.9068167604753,1.97705175865027,1.95449620801733,1.93281402142162,1.95563875652371,1.9559362206421,1.97772045028143,1.89112350753572,1.93443367655966,1.86882591093117,1.9133445629796,1.91353038369745,1.93644831730769,1.71800715237361
"summer",2,2,2,2,2,1.95998399359744,1.95998399359744,1.96036106750392,0,1.71428571428571,2,2,2,1.87995198079232,2,1.96036106750392,1.79991996798719,2,1.96072391220639,2,2,1.95998399359744,1.91996798719488,1.95998399359744,2,1.96107331821618,1.96173469387755,1.95785270629991,2,2,1.91918367346939,1.92214663643235,2,2,2,2,1.96107331821618,2,1.96235045742435,1.96204797708557,2,2,1.77040816326531,1.96141001855288,2,2,1.96235045742435,2,1.38137755102041,2,2,1.96319839411174,1.96264268419232,2,2,1.96141001855288,2,1.96319839411174,1.92793367346939,2,2,2,2,2,2,1.92841444270016,1.92528536838464,1.92933292720073,1.92585034013605,1.92639678822349,2,1.96466646360037,1.96371882086168,2,1.79059449866903,2,1.96509908311151,2,2,2,2,1.96444032158318,2,2,1.96466646360037,2,2,2,1.96589320659771,1.96466646360037,2,2,2,2,2,2,1.9328678839957,1.96550732969244,1.75714285714286,2,2,1.96488595438175,1.96589320659771,2,2,1.96420722135008,1.93418367346939,2,2,2,2,2,2,1.96739671478347,1.96724615772235,2,2,2,2,1.96796392975795,2,1.8108843537415,1.8718557190318,1.93619516772226,1.50637755102041,2,2,2,1.96883914856265,2,2,1.69387755102041,2,1.90847247990105,2,2,2,2,1.90847247990105,1.90429275158339,1.87713023353671,1.96997645211931,1.97024604234217,1.75592661306947,1.82147625405302,1.96739671478347,2,1.96997645211931,1.96997645211931,1.97074227921257,2,2,1.94279023084644,2,1.91458196181698,1.91515346295999,2,1.97118847539016,2,2,1.94355867346939,1.94414607948443,1.97218442932729,1.97244897959184,1.9723454599231,1.83617171006334,2,2,1.59042927515834,2,2,1.97305588902228,2,1.91954474097331,1.64503870513723,2,1.97305588902228,1.91916766706683,2,2,2,2,2,2,1.89602097822369,1.89427096139661,2,1.94819466248038,2,2,1.97435623464045,1.92339089481947,2,1.90026779942746,1.9502947845805,1.97557577247767,1.97552679608429,2,1.95214141994826,1.92928183931801,2,1.90716286514606,1.788887506222,1.97704730747261,1.95393432963737,1.86176154672395,1.8172699736829,1.97720520188983,1.84347098214286,1.87208155823861
"winner",2,2,1.95959183673469,1.95998399359744,2,2,2,1.92072213500785,1.71428571428571,0,2,2,2,1.95998399359744,2,2,2,2,2,2,2,2,1.91996798719488,1.91996798719488,2,2,1.96173469387755,2,2,2,1.87877551020408,2,2,2,1.96204797708557,2,2,2,2,2,2,2,1.9234693877551,1.96141001855288,2,2,1.96235045742435,2,1.62882653061224,2,2,2,2,2,2,1.92282003710575,2,1.96319839411174,1.92793367346939,2,2,2,2,2,2,1.74945054945055,1.96264268419232,1.92933292720073,2,2,1.96420722135008,2,2,1.89465786314526,1.96509908311151,1.92692560895326,1.54628808044957,2,2,2,2,2,1.92888064316636,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.86122448979592,2,2,2,2,2,2,2,2,2,2,2,1.96754364396361,2,2,1.96739671478347,2,2,2,2,2,2,2,1.2750566893424,1.9359278595159,1.96809758386113,1.34183673469388,2,2,2,2,2,2,1.93877551020408,2,1.72541743970315,2,2,1.96988309887062,2,1.8169449598021,1.52146375791696,1.93856511676836,2,1.97024604234217,1.93898165326737,2,2,2,2,2,1.91222683763771,1.97118847539016,2,2,2,2,1.88687128394665,2,2,2,2,1.97177933673469,1.94414607948443,1.97218442932729,2,1.9446909198462,1.26277269528501,2,2,1.34468684025334,2,2,2,2,2,1.67234342012667,2,2,2,2,2,2,2,2,2,1.84403146733554,1.92070322104746,2,2,2,2,1.89742493856181,1.94892726321298,1.97468987595038,1.10241019484717,2,2,1.87763398042144,1.90349745846294,1.92821212992239,1.92928183931801,2,2,1.95308611249378,1.97704730747261,2,1.95392051557465,1.86295248026218,1.93161560566948,1.97763871173469,1.95736051941287
